,produto,AIC
0,ARGO TREKKING 1.3,434.5198900062726
1,NOVA STRADA VOLCANO CD 1.3CVT,303.75635147991693
2,ARGO DRIVE 1.3,430.6015768247087
3,ARGO 1.,510.0189644093606
4,DUCATO CHASSI L,189.12838311135835
5,NOVA STRADA VOLCANO CD 1.3CVT,303.75635147991693
6,ARGO TREKKING 1.3,434.5198900062726
7,TORO FREEDOM 2. DSAT9,252.7728599722672
8,MOBI LIKE 1.,572.4514820938141
9,MOBI TREKKING 1.,215.40379481352446
10,FIORINO 1.4 FLEX,525.2792069138341
11,ARGO DRIVE 1.3,430.6015768247087
12,TORO VOLCANO 2. DSAT9,411.73948777409294
13,CRONOS 1.3,338.6182871135646
14,TORO RANCH 2. D AT9,386.60339767893106
15,PULSE DRIVE 1.3 CVT,-1.0
16,TORO VOLCANO 1.3T AT6,-1.0
17,DUCATO MAXIMULTI,98.45424687758343
18,ARGO TREKKING 1.3,434.5198900062726
19,TORO VOLCANO 1.3T AT6,-1.0
20,DUCATO MAXIMULTI,98.45424687758343
21,NOVA STRADA VOLCANO CD 1.3CVT,303.75635147991693
22,NOVA STRADA FREEDOM CS 1.3,-1.0
23,TORO ULTRA 2. DS AT9,255.9295483643442
24,TORO VOLCANO 1.3T AT6,-1.0
